age,resign,division,home_distance,education,employee_id,score_environment,major,gender,hourly_rate,score_contribution,job_rank,role,score_job_satisfication,marriage_status,monthly_income,companies_count,underage,over_time,salary_increment_percentage,rate_performance,score_work_relationahip,working_hours,time_total_working,last_year_training_time,score_work_life_balance,time_current_company,time_current_role,time_last_promotion,time_current_manager
41,Yes,Marketing,1,2,FT1310001,2,Life Sciences,Female,94,3,2,Sales Executive,4,Single,5993,8,No,Yes,11,3,1,40,8,0,1,6,4,0,5
49,No,Health and Technology,8,1,FT1010002,3,Life Sciences,Male,61,2,2,Research Scientist,2,Married,5130,1,No,No,23,4,4,40,10,3,3,10,7,1,7
37,Yes,Health and Technology,2,2,FT1110004,4,Other,Male,92,2,1,Laboratory Technician,3,Single,2090,6,No,Yes,15,3,2,40,7,3,3,0,0,0,0
33,No,Health and Technology,3,4,FT1110005,4,Life Sciences,Female,56,3,1,Research Scientist,3,Married,2909,1,No,Yes,11,3,3,40,8,3,3,8,7,3,0
27,No,Health and Technology,2,1,FT1010007,1,Computer Science,Male,40,3,1,Laboratory Technician,2,Married,3468,9,No,No,12,3,4,40,6,3,3,2,2,2,2
32,No,Health and Technology,2,2,FT1210008,4,Life Sciences,Male,79,3,1,Laboratory Technician,4,Single,3068,0,No,No,13,3,3,40,8,2,2,7,7,3,6
59,No,Health and Technology,3,3,FT1310010,3,Computer Science,Female,81,4,1,Laboratory Technician,1,Married,2670,4,No,Yes,20,4,1,40,12,3,2,1,0,0,0
30,No,Health and Technology,24,1,FT1110011,4,Life Sciences,Male,67,3,1,Laboratory Technician,3,Divorced,2693,1,No,No,22,4,2,40,1,2,3,1,0,0,0
38,No,Health and Technology,23,3,FT1010012,4,Life Sciences,Male,44,2,3,Manufacturing Director,3,Single,9526,0,No,No,21,4,2,40,10,2,3,9,7,1,8
36,No,Health and Technology,27,3,FT1310013,3,Computer Science,Male,94,3,2,Healthcare Representative,3,Married,5237,6,No,No,13,3,2,40,17,3,2,7,7,7,7
